AÑO,CENTRO DIRECTIVO,CONCEPTO ECONÓMICO,IMPORTE
2013,RECTOR,Gastos diversos: Atenciones protoc. y represent.,6009.71
2013,RECTOR,Gastos diversos: Reuniones y conferencias (C.Insc),325.0
2013,RECTOR,Otros Gastos diversos,145.0
2013,EFICIENCIA ENERGETICA Y MEDIO AMBIENTE,Compras de material informático no inventariable,48.0
2013,EFICIENCIA ENERGETICA Y MEDIO AMBIENTE,Gastos de viajes por gestión y representación,232.2
2013,EFICIENCIA ENERGETICA Y MEDIO AMBIENTE,Gastos diversos: Atenciones protoc. y represent.,194.66
2013,EFICIENCIA ENERGETICA Y MEDIO AMBIENTE,Gastos diversos: Reuniones y conferencias (C.Ins),80.0
2013,EFICIENCIA ENERGETICA Y MEDIO AMBIENTE,Trabajos por otras empresas: Otros,363.0
2013,SERVICIO INTEGRADO DE EMPLEO,Adquisición de otro inmovilizado material,227.41
2013,SERVICIO INTEGRADO DE EMPLEO,Compras de material informático no inventariable,1343.1
2013,SERVICIO INTEGRADO DE EMPLEO,Gastos de viajes por gestión y representación,1466.54
2013,SERVICIO INTEGRADO DE EMPLEO,Gastos diversos: Atenciones protoc. y represent.,2662.42
2013,SERVICIO INTEGRADO DE EMPLEO,Gastos diversos: Reuniones y conferencias (C.Insc),1300.0
2013,SERVICIO INTEGRADO DE EMPLEO,Otros Gastos diversos,1325.85
2013,SERVICIO INTEGRADO DE EMPLEO,Trabajos por otras empresas: Otros,188.42
2013,DEPARTAMENTO COMUNICACIONES,Adquisición equipos didácticos e investigación,472.61
2013,DEPARTAMENTO COMUNICACIONES,Compras de material audiovisual no inventariable,29.5
2013,DEPARTAMENTO COMUNICACIONES,Gastos de viajes por investigación,280.0
2013,DEPARTAMENTO COMUNICACIONES,Gastos diversos: Atenciones protoc. y represent.,49.17
2013,DEPARTAMENTO COMUNICACIONES,Otros Gastos diversos,35.8
2013,DEPARTAMENTO COMUNICACIONES,Repar. y conserv. de equi.procesos de información,60.5
2013,DEPARTAMENTO COMUNICACIONES,Suministros de combustibles,110.0
2013,DEPARTAMENTO COMUNICACIONES,Suministros de material de laboratorio,1299.14
2013,DEPARTAMENTO COMUNICACIONES,Trabajos por otras empresas: Otros,96.76
2013,AREA INFORMACION,Adquisición aplicaciones informáticas,2686.2
2013,AREA INFORMACION,Adquisición equipos procesos información,615.98
2013,AREA INFORMACION,Compras de material audiovisual no inventariable,78.0
2013,AREA INFORMACION,Compras de material informático no inventariable,2220.44
2013,AREA INFORMACION,Gastos de viajes por gestión y representación,1501.3
2013,AREA INFORMACION,Gastos diversos: Atenciones protoc. y represent.,469.4
2013,AREA INFORMACION,Gastos diversos: Publicidad y propaganda,5500.0
2013,AREA INFORMACION,Gastos diversos: Reuniones y conferencias (C.Ins),350.0
2013,AREA INFORMACION,Otros Gastos diversos,2130.37
2013,AREA INFORMACION,Repar. y conservación de material de transporte,507.35
2013,AREA INFORMACION,Suministros de combustibles,13.0
2013,AREA INFORMACION,Trabajos por otras empresas: Otros,404.75
2013,AREA INFORMACION,Transp. y comunic.: Otros serv. de transporte,60.5
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Adquisición equipos didácticos e investigación,2410.32
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Adquisición equipos procesos información,1582.06
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Adquisición fondos bibliográficos,186.01
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Adquisición mobiliario,5204.44
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Compras de libros y otras publicaciones,1707.34
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Compras de material de oficina no inventariable,213.57
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Compras de material informático no inventariable,105.78
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,"Compras de prensa, revistas y public. periódicas",263.33
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Gastos de viajes por gestión y representación,495.89
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Gastos diversos: Atenciones protoc. y represent.,9763.55
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,"Gastos diversos: Cursos, cursillos y conferencias",18899.4
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Gastos diversos: Reuniones y conferencias (C.Insc),10204.5
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Otros Gastos diversos,1800.0
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Primas de seguros: De otros riesgos,470.47
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Reparación y conserv. de instalaciones técnicas,154.88
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Suministros de otros productos,52.98
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Trab.por ot. empr.: Estudios y trabajos técnicos,13847.61
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Trabajos por otras empresas: Otros,22558.75
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Transp. y comunic.: Otros serv. de transporte,62.0
2013,PROMOCIÓ I NORMALITZACIÓ LINGÜÍSTICA,Transportes y comunicaciones: Correo y mensajería,5.0
2013,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Compras de libros y otras publicaciones,28.04
2013,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Gastos de viajes por gestión y representación,591.16
2013,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Gastos diversos: Jurídico-contencioso,2885.27
2013,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Gastos diversos: Reuniones y conferencias (C.Insc),2735.0
2013,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Otros Gastos diversos,1021.72
2013,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Trabajos por otras empresas: Otros,108.9
2013,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Transp. y comunic.: Otros serv. de transporte,129.05
2013,SECRETARIA GENERAL Y SERVICIOS JURIDICOS,Transportes y comunicaciones: Correo y mensajería,451.55
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Adquisición de otro inmovilizado material,548.01
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Compras de material de oficina no inventariable,12.69
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Gastos de viajes por gestión y representación,1943.97
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Gastos diversos: Atenciones protoc. y represent.,738.34
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Gastos diversos: Reuniones y conferencias (C.Ins),400.0
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Reparación y conservación de otros bienes,78.0
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Suministros de material de laboratorio,62.02
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Suministros de otros productos,277.37
2013,CENTRE COOPERACIÓ I DESENVOLUPAMENT,Transportes y comunicaciones: Correo y mensajería,17.92
2013,"ETSI CAMINOS, CANALES Y PUERTOS",Adquisición de inmovilizado inmaterial,436.0
2013,"ETSI CAMINOS, CANALES Y PUERTOS",Compras de material informático no inventariable,42.0
2013,"ETSI CAMINOS, CANALES Y PUERTOS",Gastos de viajes de alumnos,760.05
2013,"ETSI CAMINOS, CANALES Y PUERTOS",Gastos diversos: Atenciones protoc. y represent.,2890.6
2013,"ETSI CAMINOS, CANALES Y PUERTOS","Gastos diversos: Cursos, cursillos y conferencias",200.0
2013,"ETSI CAMINOS, CANALES Y PUERTOS",Gastos en fotocopias,17.0
2013,"ETSI CAMINOS, CANALES Y PUERTOS",Otros Gastos diversos,165.69
2013,"ETSI CAMINOS, CANALES Y PUERTOS",Trabajos por otras empresas: Otros,35.95
2013,ACCIÓN INTERNACIONAL,Compras de material informático no inventariable,90.0
2013,ACCIÓN INTERNACIONAL,Gastos de viajes por gestión y representación,8764.58
2013,ACCIÓN INTERNACIONAL,Gastos diversos: Atenciones protoc. y represent.,2160.64
2013,ACCIÓN INTERNACIONAL,Gastos diversos: Reuniones y conferencias (C.Insc),40.0
2013,ACCIÓN INTERNACIONAL,Otros Gastos diversos,332.1
2013,ACCIÓN INTERNACIONAL,Suministros de otros productos,350.15
2013,ACCIÓN INTERNACIONAL,Transferencias corrientes a familias: Becas,800.0
2013,ACCIÓN INTERNACIONAL,Transp. y comunic.: Otros serv. de transporte,6.5
2013,ACCIÓN INTERNACIONAL,Transportes y comunicaciones: Correo y mensajería,172.13
2013,AREA DE DEPORTES,Adquisición de material deportivo,1504.18
2013,AREA DE DEPORTES,Adquisición de otro inmovilizado material,699.0
2013,AREA DE DEPORTES,Arrendamientos de otros bienes,131.98
2013,AREA DE DEPORTES,Compras de libros y otras publicaciones,1577.98
2013,AREA DE DEPORTES,Compras de material de oficina no inventariable,9.47
2013,AREA DE DEPORTES,"Compras de prensa, revistas y public. periódicas",50.48
2013,AREA DE DEPORTES,Gastos diversos: Atenciones protoc. y represent.,235.25
2013,AREA DE DEPORTES,Gastos en fotocopias,60.17
2013,AREA DE DEPORTES,"Gastos en viajes deportivos, culturales y sociales",14339.06
2013,AREA DE DEPORTES,Otros Gastos diversos,12855.2
2013,AREA DE DEPORTES,Primas de seguros: De otro inmovilizado,2350.4
2013,AREA DE DEPORTES,Primas de seguros: De otros riesgos,151.5
2013,AREA DE DEPORTES,Primas de seguros: De vehículos,3851.93
2013,AREA DE DEPORTES,Reparación y conservación de otros bienes,5228.5
2013,AREA DE DEPORTES,Suministros de combustibles,134.0
2013,AREA DE DEPORTES,Suministros de material deportivo,4338.2
2013,AREA DE DEPORTES,Suministros de otros productos,2778.17
2013,AREA DE DEPORTES,Trabajos por otras empresas: Otros,14550.37
2013,AREA DE DEPORTES,Transportes y comunicaciones: Correo y mensajería,95.57
2013,AREA DE DEPORTES,Tributos de carácter estatal,71.7
2013,AREA DE DEPORTES,Tributos de carácter local,440.51
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Adquisición aplicaciones informáticas,174.21
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Adquisición equipos procesos información,13857.9
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Adquisición fondos bibliográficos,43.83
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Gastos de viajes por docencia,19430.59
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Gastos diversos: Atenciones protoc. y represent.,378.94
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Gastos diversos: Reuniones y conferencias (C.Insc),5753.67
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Otros Gastos diversos,2255.42
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Repar. y conserv. de equi.procesos de información,357.44
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Suministros de otros productos,761.85
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Trabajos por otras empresas: Otros,4642.35
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Transp. y comunic.: Otros serv. de transporte,60.7
2013,AREA DE SISTEMAS DE INFORMACION Y COMUNICACION,Transportes y comunicaciones: Red informática,157.05
2013,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Adquisición fondos bibliográficos,126.3
2013,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Compras de libros y otras publicaciones,3898.51
2013,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Gastos de viajes por gestión y representación,606.55
2013,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Gastos diversos: Reuniones y conferencias (C.Insc),375.0
2013,BIBLIOTECA Y DOCUMENTACION CIENTIFICA,Otros Gastos diversos,3383.83
2013,CONSEJO SOCIAL,Gastos de viajes por gestión y representación,656.85
2013,CONSEJO SOCIAL,Gastos diversos: Atenciones protoc. y represent.,2068.53
2013,CONSEJO SOCIAL,Gastos diversos: Reuniones y conferencias (C.Insc),200.0
2013,CONSEJO SOCIAL,Otros Gastos diversos,293.0
2013,CONSEJO SOCIAL,Transp. y comunic.: Otros serv. de transporte,42.2
2013,DEP DE CONST ARQUITECTONICAS,Adquisición equipos procesos información,172.75
2013,DEP DE CONST ARQUITECTONICAS,Compras de material informático no inventariable,271.28
2013,DEP DE CONST ARQUITECTONICAS,Gastos de viajes por docencia,747.4
2013,DEP DE CONST ARQUITECTONICAS,Gastos diversos: Reuniones y conferencias (C.Insc),835.0
2013,DEP DE CONST ARQUITECTONICAS,Otros Gastos diversos,5.0
2013,DEP DE CONST ARQUITECTONICAS,Suministros de material de laboratorio,269.81
2013,DEP DE ING DE SIST COMPUT Y AUTO,Adquisición equipos didácticos e investigación,620.0
2013,DEP DE ING DE SIST COMPUT Y AUTO,Gastos de viajes por investigación,923.4
2013,DEP DE ING DE SIST COMPUT Y AUTO,Gastos diversos: Reuniones y conferencias (C.Insc),1600.0
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Adquisición fondos bibliográficos,55.26
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Compras de material de oficina no inventariable,19.55
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Compras de material informático no inventariable,65.0
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Gastos diversos: Atenciones protoc. y represent.,150.1
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Gastos diversos: Reuniones y conferencias (C.Insc),1325.0
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Gastos en fotocopias,75.56
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Otros Gastos diversos,0.63
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Suministros de material de laboratorio,479.79
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Suministros de otros productos,1068.82
2013,DEP DE INGENIERIA QUIMICA Y NUCLEAR,Trabajos por otras empresas: Otros,344.85
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,Adquisición de otro inmovilizado material,54.73
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,Compras de libros y otras publicaciones,43.08
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,Compras de material informático no inventariable,46.11
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,Gastos diversos: Atenciones protoc. y represent.,100.0
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,Indemniz. de otros gastos por razón de servicios,869.19
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,Suministros de material de laboratorio,18.0
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,Suministros de otros productos,66.34
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,Transportes y comunicaciones: Correo y mensajería,64.25
2013,DEP DE INGENIERIA TEXTIL Y PAPELERA,"Tribun.de oposic.,Concursos,Tesis Doctorales, etc.",995.46
2013,DTOR ACCIÓN INTERNACIONAL,Actos protocolarios y de representación,2293.87
2013,DTOR ACCIÓN INTERNACIONAL,"Dietas, locomoción y traslados",5031.05
2013,DTOR ACCIÓN INTERNACIONAL,Material de oficina no inventariable,23.7
2013,DTOR ACCIÓN INTERNACIONAL,Seguros otros riesgos,65.62
2013,DTOR ACCIÓN INTERNACIONAL,Servicios de transporte,94.65
2013,DTOR ACCIÓN INTERNACIONAL,Trabajos por otras empresas: Otros,843.36
2013,DTOR ACCIÓN INTERNACIONAL,Transferencias corrientes: Ayudas y becas,298429.01
2013,EPS DE ALCOY,Adquisición de otro inmovilizado material,897.95
2013,EPS DE ALCOY,Arrendamientos de otros bienes,65.0
2013,EPS DE ALCOY,Compras de material de oficina no inventariable,8.09
2013,EPS DE ALCOY,Compras de material informático no inventariable,649.77
2013,EPS DE ALCOY,Gastos de viajes de alumnos,1092.91
2013,EPS DE ALCOY,Gastos de viajes por gestión y representación,1591.28
2013,EPS DE ALCOY,Gastos diversos: Atenciones protoc. y represent.,1789.31
2013,EPS DE ALCOY,"Gastos diversos: Cursos, cursillos y conferencias",43.35
2013,EPS DE ALCOY,Gastos diversos: Publicidad y propaganda,2299.2
2013,EPS DE ALCOY,Gastos diversos: Reuniones y conferencias (C.Insc),1180.0
2013,EPS DE ALCOY,Otros Gastos diversos,3019.16
2013,EPS DE ALCOY,Primas de seguros: De otro inmovilizado,39.9
2013,EPS DE ALCOY,Primas de seguros: De vehículos,548.66
2013,EPS DE ALCOY,Reparación y conservación de otros bienes,342.21
2013,EPS DE ALCOY,Suministros de combustibles,2519.29
2013,EPS DE ALCOY,Suministros de otros productos,2155.29
2013,EPS DE ALCOY,Trabajos por otras empresas: Otros,2029.95
2013,EPS DE ALCOY,Transportes y comunicaciones: Correo y mensajería,81.87
2013,EPS DE ALCOY,Tributos de carácter local,728.62
2013,ETS DE ARQUITECTURA,Adquisición de otro inmovilizado material,180.95
2013,ETS DE ARQUITECTURA,Adquisición equipos procesos información,1295.91
2013,ETS DE ARQUITECTURA,Compras de libros y otras publicaciones,16.5
2013,ETS DE ARQUITECTURA,Compras de material informático no inventariable,468.57
2013,ETS DE ARQUITECTURA,Gastos diversos: Atenciones protoc. y represent.,212.35
2013,ETS DE ARQUITECTURA,"Gastos diversos: Cursos, cursillos y conferencias",436.38
2013,ETS DE ARQUITECTURA,Gastos diversos: Reuniones y conferencias (C.Insc),1350.0
2013,ETS DE ARQUITECTURA,Otros Gastos diversos,1908.88
2013,ETS DE ARQUITECTURA,Suministros de otros productos,262.62
2013,ETS DE ARQUITECTURA,Transp. y comunic.: Otros serv. de transporte,130.65
2013,ETSI AGRONÓMICA Y MEDIO NATURAL,Arrendamientos de material de transporte,72.27
2013,ETSI AGRONÓMICA Y MEDIO NATURAL,Otros Gastos diversos,80.4
2013,ETSI AGRONÓMICA Y MEDIO NATURAL,Suministros de agua,1361.46
2013,ETSI AGRONÓMICA Y MEDIO NATURAL,Transp. y comunic.: Otros serv. de transporte,464.0
2013,ETSI TELECOMUNICACIONES,Adquisición de otro inmovilizado material,160.01
2013,ETSI TELECOMUNICACIONES,Compras de material audiovisual no inventariable,83.54
2013,ETSI TELECOMUNICACIONES,Compras de material informático no inventariable,73.19
2013,ETSI TELECOMUNICACIONES,"Compras de prensa, revistas y public. periódicas",483.6
2013,ETSI TELECOMUNICACIONES,Gastos de viajes de alumnos,115.8
2013,ETSI TELECOMUNICACIONES,Gastos de viajes por gestión y representación,1929.28
2013,ETSI TELECOMUNICACIONES,Gastos diversos: Atenciones protoc. y represent.,227.67
2013,ETSI TELECOMUNICACIONES,Gastos diversos: Reuniones y conferencias (C.Insc),420.0
2013,ETSI TELECOMUNICACIONES,Gastos en fotocopias,26.85
2013,ETSI TELECOMUNICACIONES,Otros Gastos diversos,417.63
2013,ETSI TELECOMUNICACIONES,Reparación y conserv. de edificios y ot. const.,82.33
2013,ETSI TELECOMUNICACIONES,Reparación y conservación de otros bienes,78.59
2013,ETSI TELECOMUNICACIONES,Suministros de otros productos,78.0
2013,ETSI TELECOMUNICACIONES,Trabajos por otras empresas: Otros,242.0
2013,ETSI TELECOMUNICACIONES,Transportes y comunicaciones: Correo y mensajería,4.44
2013,ETSI DEL DISEÑO,Adquisición de otro inmovilizado material,307.75
2013,ETSI DEL DISEÑO,Adquisición equipos procesos información,499.0
2013,ETSI DEL DISEÑO,Arrendamientos de material de transporte,772.69
2013,ETSI DEL DISEÑO,Compras de material de oficina no inventariable,48.53
2013,ETSI DEL DISEÑO,"Compras de prensa, revistas y public. periódicas",407.42
2013,ETSI DEL DISEÑO,Gastos de viajes de alumnos,1828.33
2013,ETSI DEL DISEÑO,Gastos de viajes por gestión y representación,3113.48
2013,ETSI DEL DISEÑO,Gastos diversos: Atenciones protoc. y represent.,4981.87
2013,ETSI DEL DISEÑO,"Gastos diversos: Cursos, cursillos y conferencias",1851.26
2013,ETSI DEL DISEÑO,Gastos diversos: Reuniones y conferencias (C.Insc),790.01
2013,ETSI DEL DISEÑO,Indemniz. de otros gastos por razón de servicios,200.0
2013,ETSI DEL DISEÑO,Otros Gastos diversos,2430.21
2013,ETSI DEL DISEÑO,Suministros de material de laboratorio,61.28
2013,ETSI DEL DISEÑO,Trab.por ot. empr.: Estudios y trabajos técnicos,270.0
2013,ETSI DEL DISEÑO,Trabajos por otras empresas: Otros,2586.11
2013,ETSI DEL DISEÑO,"Tribun.de oposic.,Concursos,Tesis Doctorales, etc.",54.15
2013,FACULTAD DE BELLAS ARTES,Adquisición de otro inmovilizado material,385.97
2013,FACULTAD DE BELLAS ARTES,Adquisición equipos didácticos e investigación,998.07
2013,FACULTAD DE BELLAS ARTES,Gastos de viajes de alumnos,853.34
2013,FACULTAD DE BELLAS ARTES,Gastos de viajes por gestión y representación,2325.15
2013,FACULTAD DE BELLAS ARTES,Gastos diversos: Atenciones protoc. y represent.,2055.86
2013,FACULTAD DE BELLAS ARTES,Gastos diversos: Publicidad y propaganda,676.7
2013,FACULTAD DE BELLAS ARTES,Gastos diversos: Reuniones y conferencias (C.Insc),453.5
2013,FACULTAD DE BELLAS ARTES,Otros Gastos diversos,2804.62
2013,FACULTAD DE BELLAS ARTES,Reparación y conserv. de edificios y ot. const.,435.6
2013,FACULTAD DE BELLAS ARTES,Reparación y conservación de otros bienes,469.21
2013,FACULTAD DE BELLAS ARTES,Suministros de otros productos,1720.91
2013,FACULTAD DE BELLAS ARTES,Transportes y comunicaciones: Correo y mensajería,115.13
2013,FACULTAD DE BELLAS ARTES,Tributos de carácter local,297.56
2013,GESTIÓN DE LA EDIFICACIÓN,Compras de material de oficina no inventariable,14.4
2013,GESTIÓN DE LA EDIFICACIÓN,Gastos de viajes de alumnos,563.54
2013,GESTIÓN DE LA EDIFICACIÓN,Gastos de viajes por gestión y representación,603.75
2013,GESTIÓN DE LA EDIFICACIÓN,Gastos diversos: Atenciones protoc. y represent.,803.63
2013,GESTIÓN DE LA EDIFICACIÓN,Gastos diversos: Reuniones y conferencias (C.Insc),1146.0
2013,GESTIÓN DE LA EDIFICACIÓN,Otros Gastos diversos,1460.94
2013,GESTIÓN DE LA EDIFICACIÓN,Suministros de otros productos,539.73
2013,GESTIÓN DE LA EDIFICACIÓN,Trabajos por otras empresas: Otros,492.47
2013,INFRAESTRUCTURAS,Adquisición equipos procesos información,59.9
2013,INFRAESTRUCTURAS,Gastos de viajes por gestión y representación,651.96
2013,INFRAESTRUCTURAS,Gastos diversos: Atenciones protoc. y represent.,116.65
2013,INFRAESTRUCTURAS,Otros Gastos diversos,426.8
2013,INFRAESTRUCTURAS,Repar. y conservación de material de transporte,1317.68
2013,INFRAESTRUCTURAS,Suministros de combustibles,1600.0
2013,INFRAESTRUCTURAS,Suministros de otros productos,112.1
2013,INFRAESTRUCTURAS,Transp. y comunic.: Otros serv. de transporte,6.4
2013,INFRAESTRUCTURAS,Tributos de carácter estatal,277.97
2013,INFRAESTRUCTURAS,Tributos de carácter local,25.96
2013,INSTITUTO NTC,Actos protocolarios y de representación,907.5
2013,INSTITUTO NTC,Adquisición equipos didácticos e investigación,1931.7
2013,INSTITUTO NTC,Correo y mensajería,6.02
2013,INSTITUTO NTC,"Dietas, locomoción y traslados",103.67
2013,INSTITUTO NTC,Otros arrendamientos,1500.0
2013,INSTITUTO NTC,Reuniones y conferencias (Cuotas inscripción),6215.87
2013,INSTITUTO NTC,Suministros de material de laboratorio,5516.28
2013,INSTITUTO NTC,Trabajos por otras empresas: Otros,66.77
2013,PLANIFICACION,Adquisición de otro inmovilizado material,139.66
2013,PLANIFICACION,Compras de material informático no inventariable,98.0
2013,PLANIFICACION,Gastos de viajes por gestión y representación,2805.6
2013,PLANIFICACION,Gastos diversos: Atenciones protoc. y represent.,823.54
2013,PLANIFICACION,Gastos diversos: Reuniones y conferencias (C.Ins),900.0
2013,PLANIFICACION,Gastos en fotocopias,101.1
2013,PLANIFICACION,Otros Gastos diversos,749.02
2013,PLANIFICACION,Suministros de otros productos,571.44
2013,PLANIFICACION,Transp. y comunic.: Otros serv. de transporte,139.2
2013,RELACIONES INSTITUCIONALES,Adquisición de otro inmovilizado material,664.01
2013,RELACIONES INSTITUCIONALES,Adquisición equipos procesos información,84.95
2013,RELACIONES INSTITUCIONALES,Arrendamientos de otros bienes,105.0
2013,RELACIONES INSTITUCIONALES,Compras de material de oficina no inventariable,43.5
2013,RELACIONES INSTITUCIONALES,Gastos de viajes por gestión y representación,4927.36
2013,RELACIONES INSTITUCIONALES,Gastos diversos: Atenciones protoc. y represent.,9973.98
2013,RELACIONES INSTITUCIONALES,"Gastos diversos: Cursos, cursillos y conferencias",40.0
2013,RELACIONES INSTITUCIONALES,Gastos diversos: Reuniones y conferencias (C.Insc),760.0
2013,RELACIONES INSTITUCIONALES,Otros Gastos diversos,1201.24
2013,RELACIONES INSTITUCIONALES,Repar. y conserv. de equi.procesos de información,1336.81
2013,RELACIONES INSTITUCIONALES,Reparación y conservación de otros bienes,338.8
2013,RELACIONES INSTITUCIONALES,Suministros de otros productos,1108.88
2013,RELACIONES INSTITUCIONALES,Trabajos por otras empresas: Limpieza y aseo,29.6
2013,RELACIONES INSTITUCIONALES,Trabajos por otras empresas: Otros,1040.6
2013,RELACIONES INSTITUCIONALES,Transp. y comunic.: Otros serv. de transporte,381.4
2013,SERVICIOS COMUNES  TRIBUNALES,Adquisición aplicaciones informáticas,6727.6
2013,SERVICIOS COMUNES  TRIBUNALES,Adquisición equipos procesos información,1269.29
2013,SERVICIOS COMUNES  TRIBUNALES,Compras de libros y otras publicaciones,21.5
2013,SERVICIOS COMUNES  TRIBUNALES,Gastos de viajes por gestión y representación,2818.31
2013,SERVICIOS COMUNES  TRIBUNALES,Gastos diversos: Atenciones protoc. y represent.,5991.53
2013,SERVICIOS COMUNES  TRIBUNALES,Gastos diversos: Reuniones y conferencias (C.Insc),1620.0
2013,SERVICIOS COMUNES  TRIBUNALES,Otros Gastos diversos,11080.6
2013,SERVICIOS COMUNES  TRIBUNALES,Primas de seguros: De vehículos,1586.61
2013,SERVICIOS COMUNES  TRIBUNALES,Suministros de otros productos,310.33
2013,SERVICIOS COMUNES  TRIBUNALES,Transp. y comunic.: Otros serv. de transporte,92.7
2013,SERVICIOS COMUNES  TRIBUNALES,Tributos de carácter autonómico,3515.13
2013,SERVICIOS COMUNES  TRIBUNALES,Tributos de carácter estatal,608.71
2013,SERVICIOS COMUNES  TRIBUNALES,Tributos de carácter local,69.54
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Adquisición equipos didácticos e investigación,1198.98
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Compras de material de oficina no inventariable,433.86
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Gastos diversos: Atenciones protoc. y represent.,1012.3
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Indemniz. de otros gastos por razón de servicios,1068.18
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Otros Gastos diversos,824.84
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Repar. y conserv. de equi.procesos de información,84.7
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Reparación y conservación de otros bienes,287.9
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Suministros de material de laboratorio,1944.99
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Trab.por ot. empr.: Estudios y trabajos técnicos,810.0
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,Transportes y comunicaciones: Correo y mensajería,91.6
2013,DEPARTAMENTO TECNOLOGIA ALIMENTOS,"Tribun.de oposic.,Concursos,Tesis Doctorales, etc.",162.45
